,,Normalized data,,,,,SINDy model,lambda=0.062,,,,,SINDy model,lambda=0.04,,
time (s),NADH,ATP,DiOC2(3),PBFI,,time (s),NADH,ATP,DiOC2(3),PBFI,,time (s),NADH,ATP,DiOC2(3),PBFI
584,0.262576347,0.534008308,0.459139835,0.710697626,,584,0.10336394,0.297224633,0.64092455,0.220295521,,584,0.412983389,0.292555292,0.875086849,0.118387866
585,0.275607772,0.473750295,0.403758326,0.70304758,,585,0.118896697,0.325070158,0.64092455,0.19572925,,585,0.47730809,0.377599668,0.91070957,0.097580225
586,0.137528791,0.441506532,0.509101542,0.700528662,,586,0.140884965,0.357849062,0.64092455,0.175370628,,586,0.554825345,0.472812589,0.942736274,0.092032568
587,0.226884619,0.406699378,0.491574864,0.705473204,,587,0.168869615,0.395992327,0.64092455,0.159814679,,587,0.638547377,0.573949292,0.968174277,0.101381466
588,0.210030972,0.358316412,0.487825331,0.567772364,,588,0.202013214,0.4398405,0.64092455,0.149686201,,588,0.720511043,0.67544989,0.985049765,0.124368455
589,0.328168972,0.343258255,0.527923499,0.627106873,,589,0.239039043,0.489552525,0.64092455,0.145697647,,589,0.793145202,0.771350357,0.992624395,0.15908297
590,0.478007546,0.305288882,0.580942066,0.588203587,,590,0.278173534,0.544972292,0.64092455,0.148717111,,590,0.850545927,0.85625665,0.991296524,0.203325481
591,0.289113816,0.280575994,0.60216979,0.579434021,,591,0.317116405,0.605444072,0.64092455,0.159822798,,591,0.889279825,0.926049737,0.982309864,0.254940682
592,0.349916656,0.267330773,0.633747813,0.61899036,,592,0.353085893,0.669579955,0.64092455,0.180299909,,592,0.908575036,0.978164217,0.967424247,0.31201553
593,0.451098373,0.2460439,0.691125322,0.617404374,,593,0.383010978,0.735013206,0.64092455,0.211513221,,593,0.90999868,1.011492487,0.948637593,0.37292825
594,0.357306266,0.296820966,0.673753489,0.572063854,,594,0.403947501,0.798227747,0.64092455,0.254582093,,594,0.896832855,1.02608226,0.927967543,0.436300643
595,0.485760743,0.229935264,0.67100475,0.512915932,,595,0.413741506,0.85462312,0.64092455,0.309831272,,595,0.873350741,1.022795068,0.907267318,0.500919574
596,0.44197484,0.34395201,0.742203012,0.425126982,,596,0.411814828,0.89900038,0.64092455,0.376127446,,596,0.844129491,1.003029084,0.888064222,0.565671444
597,0.540066564,0.375187975,0.698251994,0.405721986,,597,0.399739716,0.926541835,0.64092455,0.450408392,,597,0.813474722,0.968538949,0.871437395,0.629504369
598,0.578924908,0.397543779,0.708467193,0.428952006,,598,0.381173291,0.93406392,0.64092455,0.527805872,,598,0.784991394,0.921337815,0.857963751,0.691413103
599,0.847670498,0.422087746,0.774571565,0.447797243,,599,0.360954957,0.921007317,0.64092455,0.602545659,,599,0.761312386,0.8636463,0.847748845,0.750434629
600,0.923423121,0.458267081,0.692010017,0.391634705,,600,0.343687774,0.889620147,0.64092455,0.669315717,,600,0.743979838,0.797852271,0.840532552,0.80564435
601,0.735529796,0.443752591,0.726354707,0.382212087,,601,0.332499651,0.844219883,0.64092455,0.72443827,,601,0.733460994,0.726455408,0.835834737,0.856148992
602,0.76073299,0.593593965,0.738379965,0.352824712,,602,0.328531929,0.789953748,0.64092455,0.766329628,,602,0.729269903,0.651984614,0.833096382,0.901078605
603,0.808958276,0.554387478,0.671352056,0.410293355,,603,0.331191721,0.731657063,0.64092455,0.795225643,,603,0.730160411,0.576890454,0.831779737,0.939583317
604,0.881997909,0.706816358,0.715223913,0.282388307,,604,0.338813801,0.673174821,0.64092455,0.81252237,,604,0.734355167,0.503426047,0.831411113,0.970839983
605,0.739594042,0.73179986,0.645659666,0.371296776,,605,0.349340029,0.617169381,0.64092455,0.820110126,,605,0.739779729,0.433536227,0.831572096,0.994070644
606,0.835378358,0.714139227,0.629414387,0.2907847,,606,0.360802635,0.565244176,0.64092455,0.819902054,,606,0.744278933,0.368774756,0.831861153,1.008571134
607,0.929470331,0.791685391,0.579665468,0.453768011,,607,0.371577889,0.518196124,0.64092455,0.813584073,,607,0.745802487,0.310263321,0.831853548,1.013746219
608,0.85424601,0.770183692,0.566030304,0.350865554,,608,0.380467444,0.47627431,0.64092455,0.802527971,,608,0.742555717,0.258696136,0.831083974,1.009147753
609,0.85684929,0.807441584,0.54296897,0.453674718,,609,0.386680496,0.439390792,0.64092455,0.787796788,,609,0.733117578,0.214384153,0.829066209,0.994513667
610,0.774561367,0.815136087,0.513056573,0.337338033,,610,0.389772564,0.407272314,0.64092455,0.77019002,,610,0.716530538,0.17732631,0.825351659,0.96980664
611,0.755291253,0.889416268,0.461669937,0.486793822,,611,0.389574097,0.3795609,0.64092455,0.750298538,,611,0.692366237,0.147293699,0.819617046,0.935251001
612,0.849505345,0.902381506,0.406011769,0.418596455,,612,0.386125028,0.355876503,0.64092455,0.728555392,,612,0.660768323,0.123915266,0.811763084,0.891364734
613,0.62413582,0.874156024,0.4526477,0.438094744,,613,0.379621193,0.335853798,0.64092455,0.705278036,,613,0.622471059,0.106758639,0.802001717,0.838981189
614,0.677327514,0.85035473,0.395319084,0.384544418,,614,0.370373287,0.319162388,0.64092455,0.680701963,,614,0.578790638,0.09540466,0.790909844,0.779253721
615,0.603368227,0.80537514,0.402465368,0.542863066,,615,0.358776809,0.305516831,0.64092455,0.655007388,,615,0.531586226,0.08951727,0.779431894,0.713637472
616,0.526301548,0.791428432,0.356345372,0.597066446,,616,0.345290689,0.294680731,0.64092455,0.628340836,,616,0.483189584,0.088910752,0.768821302,0.643846473
617,0.578943734,0.699564298,0.414242483,0.536239245,,617,0.330422252,0.286467529,0.64092455,0.600833152,,617,0.436304493,0.093613794,0.760520308,0.57179045
618,0.45991127,0.680658512,0.377627261,0.591655437,,618,0.314716337,0.280739647,0.64092455,0.572614918,,618,0.39387823,0.103924569,0.755986838,0.499501798
619,0.417668666,0.544704864,0.342746748,0.78225355,,619,0.298746676,0.277406922,0.64092455,0.543829731,,619,0.358944817,0.120443799,0.756485207,0.42906583
620,0.193092129,0.510554286,0.350851777,0.660132684,,620,0.283107861,0.276424843,0.64092455,0.514645393,,620,0.334433496,0.144064575,0.762863931,0.362563999
621,0.26933855,0.495362057,0.39337049,0.670021768,,621,0.268406506,0.277792829,0.64092455,0.485262743,,621,0.32292898,0.175891498,0.775350451,0.3020298
622,0.308141488,0.443730661,0.425586988,0.619736706,,622,0.255250462,0.281552539,0.64092455,0.455921749,,622,0.326370511,0.217062554,0.793400197,0.249403815
623,0.201493386,0.380144571,0.430325,0.734020939,,623,0.244235282,0.287786092,0.64092455,0.426904484,,623,0.345695129,0.268463026,0.815644601,0.206464761
624,0.259078751,0.372187637,0.483211948,0.708178708,,624,0.235927415,0.296613866,0.64092455,0.398534857,,624,0.380472894,0.330357852,0.839981495,0.174716573
625,0.22601863,0.301350543,0.511199083,0.643806365,,625,0.230844015,0.30819143,0.64092455,0.371175309,,625,0.428638596,0.402023113,0.86382981,0.155233206
626,0.240694731,0.289832047,0.521159265,0.632517881,,626,0.229429475,0.322704914,0.64092455,0.34522124,,626,0.486462021,0.481504445,0.884522317,0.148497861
627,0.249716414,0.267700471,0.579268949,0.684109049,,627,0.232029045,0.340363927,0.64092455,0.321094455,,627,0.54887181,0.565630182,0.899749439,0.154301118
628,0.273458889,0.255471344,0.547159117,0.540157562,,628,0.238859951,0.361390746,0.64092455,0.299237445,,628,0.610136975,0.650332822,0.907930455,0.171757296
629,0.257588219,0.24185274,0.563189105,0.575235825,,629,0.249980436,0.386004123,0.64092455,0.280110576,,629,0.664759046,0.73120696,0.908409343,0.199452553
630,0.416610209,0.254571366,0.616212373,0.500601223,,630,0.265257211,0.414395521,0.64092455,0.264194171,,630,0.708327768,0.804128267,0.901445683,0.235677552
631,0.405749666,0.262322876,0.699327256,0.557696693,,631,0.284332262,0.446694996,0.64092455,0.251996723,,631,0.738110522,0.865744192,0.88804878,0.278663449
632,0.391026913,0.211889878,0.724882498,0.516740956,,632,0.306591178,0.482923534,0.64092455,0.244068831,,632,0.753262817,0.913725928,0.869737422,0.326752765
633,0.462432505,0.253645043,0.668813796,0.475225459,,633,0.331137807,0.522928702,0.64092455,0.241019545,,633,0.754684384,0.946782741,0.848291709,0.378479909
634,0.477339873,0.314414457,0.726204591,0.431284337,,634,0.356784393,0.566302016,0.64092455,0.243527274,,634,0.744632073,0.96451795,0.825527977,0.432577022
635,0.518759171,0.266017997,0.781903947,0.384357831,,635,0.382072456,0.612280687,0.64092455,0.252331442,,635,0.726219816,0.967225204,0.803104769,0.487939262
636,0.616781573,0.428933923,0.768867135,0.316253758,,636,0.405345743,0.659645422,0.64092455,0.268184869,,636,0.702911337,0.955699431,0.782365653,0.543580451
637,0.663682512,0.489336148,0.811718615,0.287426143,,637,0.424898373,0.706640688,0.64092455,0.291744475,,637,0.678074229,0.931097732,0.764232163,0.598596715
638,0.670781543,0.475510388,0.834819685,0.270913237,,638,0.439211086,0.750962263,0.64092455,0.323386291,,638,0.654632138,0.894852544,0.749162549,0.652142732
639,0.720900163,0.512674032,0.808956921,0.261583912,,639,0.447257927,0.789869617,0.64092455,0.362958442,,639,0.634829338,0.848620581,0.737182992,0.703417325
640,0.92459281,0.543752547,0.764210074,0.346014305,,640,0.448814499,0.820469713,0.64092455,0.409533318,,640,0.620106824,0.794245429,0.727981095,0.751653058
641,0.751349043,0.631690032,0.828619903,0.305338447,,641,0.444648304,0.840166288,0.64092455,0.461268499,,641,0.611078716,0.733714803,0.721035451,0.796106424
642,0.896567657,0.682517543,0.800239833,0.236488027,,642,0.436465998,0.847179243,0.64092455,0.515492634,,642,0.607590881,0.669100987,0.715747584,0.836048861
643,0.849547456,0.715520794,0.795088016,0.328475174,,643,0.426569775,0.840959672,0.64092455,0.569060365,,643,0.608839795,0.60248179,0.711546225,0.870761737
644,0.88318435,0.743501029,0.753004044,0.381652327,,644,0.41731485,0.822327555,0.64092455,0.618888183,,644,0.61352859,0.535847406,0.707946331,0.89953929
645,0.853625485,0.762545202,0.773671285,0.314294599,,645,0.410571214,0.793268022,0.64092455,0.662477908,,645,0.620038738,0.471004618,0.704560996,0.92170201
646,0.929721072,0.828609836,0.773731364,0.438188038,,646,0.4073871,0.756475723,0.64092455,0.698240888,,646,0.626599578,0.409492548,0.701078001,0.936620354
647,0.740000606,0.823297416,0.666389764,0.385850523,,647,0.407934671,0.714830483,0.64092455,0.725548653,,647,0.631443132,0.352522891,0.697220521,0.9437463
648,0.932792343,0.827104835,0.649310431,0.371296776,,648,0.411683204,0.670971278,0.64092455,0.744564805,,648,0.632937234,0.30095277,0.692712575,0.942649037
649,0.805717065,0.822143895,0.634820815,0.448823468,,649,0.417676711,0.627048193,0.64092455,0.755976932,,649,0.629694663,0.25529149,0.687265105,0.933051161
650,0.86089194,0.825743789,0.511216002,0.48931274,,650,0.424804161,0.584644605,0.64092455,0.760735122,,650,0.620658667,0.215736082,0.680590604,0.914862312
651,0.764012376,0.827171597,0.519975098,0.531947756,,651,0.432000995,0.544815817,0.64092455,0.759854561,,651,0.605165983,0.182226457,0.672445225,0.888207616
