time (s),NADH,,time (s),DiOC2(3),,time (s),PBFI
629,146600,,629,22275,,629,4313
630,145400,,630,22336,,630,4099
631,146650,,631,22287,,631,4010
632,148750,,632,22294,,632,3224
633,146800,,633,22276,,633,3409
634,148950,,634,22345,,634,3299
635,146550,,635,22276,,635,3254
636,144500,,636,22293,,636,3504
637,147450,,637,22380,,637,3131
638,147000,,638,22360,,638,3678
639,146750,,639,22351,,639,3570
640,145650,,640,22304,,640,3853
641,146700,,641,22350,,641,3398
642,150200,,642,22341,,642,3678
643,148150,,643,22273,,643,3561
644,145750,,644,22314,,644,3541
645,147400,,645,22396,,645,3509
646,148700,,646,22387,,646,3315
647,147850,,647,22418,,647,2970
648,147450,,648,22332,,648,3268
649,146150,,649,22371,,649,3365
650,147550,,650,22319,,650,3328
651,146900,,651,22442,,651,3634
652,148900,,652,22473,,652,3507
653,148000,,653,22381,,653,3343
654,149100,,654,22371,,654,4036
655,146750,,655,22388,,655,2847
656,145550,,656,22441,,656,2929
657,150600,,657,22464,,657,3573
658,149400,,658,22381,,658,3011
659,148900,,659,22386,,659,3723
660,147800,,660,22417,,660,3712
661,147400,,661,22361,,661,3494
662,149550,,662,22394,,662,2606
663,147150,,663,22436,,663,2969
664,145400,,664,22430,,664,2929
665,149050,,665,22488,,665,3869
666,148400,,666,22547,,666,3740
667,147850,,667,22458,,667,3937
668,147000,,668,22462,,668,3377
669,147150,,669,22476,,669,3454
670,148350,,670,22533,,670,3196
671,149850,,671,22511,,671,3444
672,146950,,672,22454,,672,2707
673,150350,,673,22463,,673,2730
674,146400,,674,22487,,674,3001
675,149550,,675,22471,,675,3309
676,149500,,676,22466,,676,3499
677,147600,,677,22513,,677,3413
678,151050,,678,22527,,678,4011
679,148050,,679,22492,,679,3876
680,153400,,680,22526,,680,3771
681,148300,,681,22524,,681,3401
682,149450,,682,22510,,682,3719
683,148500,,683,22549,,683,3273
684,149800,,684,22529,,684,4061
685,148800,,685,22513,,685,3005
686,148900,,686,22513,,686,3622
687,147950,,687,22498,,687,3767
688,150850,,688,22532,,688,3974
689,148950,,689,22522,,689,3808
690,151650,,690,22548,,690,3363
691,148400,,691,22565,,691,4399
692,150750,,692,22577,,692,3525
693,148600,,693,22557,,693,2960
694,148200,,694,22678,,694,3941
695,148850,,695,22615,,695,3481
696,148050,,696,22563,,696,3392
697,151550,,697,22588,,697,3641
698,151350,,698,22602,,698,2977
699,150550,,699,22615,,699,3810
700,149900,,700,22672,,700,3541
701,149100,,701,22638,,701,3952
702,151300,,702,22642,,702,3163
703,149900,,703,22660,,703,3070
704,150250,,704,22648,,704,4130
705,148850,,705,22619,,705,4119
706,149250,,706,22638,,706,3416
707,151500,,707,22659,,707,3647
708,148850,,708,22699,,708,3725
709,149300,,709,22643,,709,3133
710,152050,,710,22657,,710,3087
711,148950,,711,22663,,711,3242
712,151550,,712,22666,,712,3931
713,149100,,713,22693,,713,3237
714,147600,,714,22707,,714,3574
715,148850,,715,22680,,715,3226
716,152000,,716,22679,,716,3644
717,146750,,717,22679,,717,3381
718,149050,,718,22603,,718,3963
719,152600,,719,22676,,719,3877
720,150750,,720,22758,,720,3955
721,150900,,721,22813,,721,3844
722,150150,,722,22766,,722,4165
723,147250,,723,22780,,723,3728
724,149350,,724,22767,,724,4254
725,150000,,725,22751,,725,3645
726,148950,,726,22744,,726,3639
727,151850,,727,22776,,727,3034
728,150150,,728,22803,,728,3827
729,151500,,729,22794,,729,3419
730,152100,,730,22807,,730,3531
731,148550,,731,22741,,731,3767
732,150850,,732,22783,,732,3725
733,151800,,733,22853,,733,4381
734,151250,,734,22862,,734,3762
735,151350,,735,22843,,735,3957
736,150450,,736,22880,,736,3644
737,151150,,737,22806,,737,3818
738,152100,,738,22859,,738,4064
739,149850,,739,22871,,739,3122
740,149900,,740,22866,,740,3400
741,151850,,741,22843,,741,3337
742,150400,,742,22895,,742,3724
743,150650,,743,22841,,743,3319
744,151100,,744,22867,,744,3493
745,151400,,745,22913,,745,3723
746,151200,,746,22904,,746,3326
747,150900,,747,22853,,747,3117
748,152050,,748,22891,,748,3265
749,151600,,749,22890,,749,3921
750,149100,,750,22966,,750,3316
751,151350,,751,22894,,751,3484
752,149600,,752,22916,,752,3335
753,151700,,753,22928,,753,3598
754,149100,,754,22945,,754,3696
