,100 mM K-phosphate,,,100 mM Na-phosphate
time,NADH,,time,NADH
866,141181,,866,157819
867,140471,,867,158856
868,141612,,868,158491
869,140978,,869,157478
870,140447,,870,157931
871,140440,,871,157640
872,139982,,872,158788
873,141436,,873,158675
874,140181,,874,157387
875,140182,,875,158520
876,140884,,876,157433
877,140607,,877,157759
878,141326,,878,157359
879,142295,,879,158042
880,141602,,880,157734
881,142722,,881,157596
882,143824,,882,158914
883,143539,,883,157911
884,143688,,884,158698
885,144309,,885,158255
886,144475,,886,158338
887,144968,,887,158258
888,146415,,888,156433
889,145629,,889,158456
890,146556,,890,158324
891,145727,,891,157863
892,146294,,892,157359
893,145240,,893,158053
894,144440,,894,158542
895,144639,,895,158972
896,144333,,896,159134
897,144759,,897,159010
898,144043,,898,158666
899,143482,,899,157839
900,143700,,900,157629
901,144046,,901,158040
902,142468,,902,158477
903,141615,,903,157690
904,142206,,904,157020
905,141373,,905,158789
906,140254,,906,157777
907,140356,,907,157920
908,142299,,908,158470
909,140992,,909,158197
910,141819,,910,157015
911,140325,,911,158023
912,140753,,912,158726
913,140463,,913,158272
914,139966,,914,158859
915,140958,,915,157609
916,141350,,916,157968
917,141092,,917,158465
918,143026,,918,159070
919,142005,,919,157865
920,142280,,920,158308
921,143051,,921,158967
922,144962,,922,158058
923,143108,,923,158001
924,144354,,924,157155
925,144817,,925,158023
926,145442,,926,158127
927,144952,,927,158359
928,145916,,928,158455
929,145752,,929,157786
930,145747,,930,157546
931,145929,,931,158110
932,147232,,932,158523
933,144324,,933,158871
934,145318,,934,158795
935,145201,,935,158343
936,144112,,936,157770
937,143885,,937,158046
938,144425,,938,158128
939,143801,,939,157620
940,142710,,940,158185
941,142701,,941,159263
942,142045,,942,159156
943,141904,,943,159177
944,141058,,944,157991
945,141720,,945,158380
946,141115,,946,158638
947,139903,,947,158882
948,141274,,948,159044
949,140477,,949,158810
950,139896,,950,158895
951,140166,,951,158894
952,141082,,952,158154
953,141685,,953,158238
954,141407,,954,158441
955,141455,,955,159336
956,142013,,956,158941
957,141888,,957,158832
958,142450,,958,158468
959,143369,,959,159044
960,143855,,960,158718
961,143674,,961,158323
962,143684,,962,158190
963,144943,,963,159478
964,145107,,964,157984
965,145831,,965,158962
966,145265,,966,158988
967,145965,,967,158204
968,145871,,968,159216
969,147164,,969,158151
970,146145,,970,159204
971,145622,,971,158734
972,146948,,972,158570
973,144972,,973,159344
974,145516,,974,159399
975,146015,,975,159111
976,144794,,976,159675
977,144334,,977,158755
978,144425,,978,158369
979,143551,,979,158820
980,142667,,980,159303
981,141672,,981,158431
982,142135,,982,159242
983,141537,,983,158238
984,142344,,984,158883
985,141656,,985,159005
986,140942,,986,159113
987,140670,,987,158424
988,141204,,988,158743
989,140480,,989,158934
990,140832,,990,159101
991,141297,,991,158330
992,141725,,992,158601
993,142695,,993,158930
994,140683,,994,159696
995,142385,,995,158757
996,142336,,996,159726
997,142379,,997,158712
998,143132,,998,159377
999,143922,,999,158414
1000,144869,,1000,158698
1001,145228,,1001,158581
1002,145121,,1002,158704
1003,145514,,1003,158606
